policy_number,transaction_type,policy_status,policy_issuance_type,policy_term_yrs,product_uin,product_name,plan_name,member_id,vehicle_id,policy_type,policy_procurement_area,policy_issue_date,policy_start_date,policy_end_date,policy_expiry_date,policy_cancellation_termination_date,policy_renewal_indicator,previous_policy_number,first_policy_number,joining_date,renewal_date,total_premium_amt,od_premium_amt,tp_premium_amt,premium_loading_indicator,loading_description,total_loading_amount,premium_paid_till_date,sum_insured_amt,insured_declared_value_amt,basic_premium_rate,no_claim_bonus,deductible_compulsory_amt,deductible_voluntary_amt,zero_depreciation_flag,engine_protect_flag,rti_flag,roadside_assist_flag,key_protect_flag,pa_other_driver_flag,pa_paid_driver_flag,pa_passenger_flag,pa_owner_driver_limit_amt,distribution_channel,agent_id,partner_id,underwriting_approval_id,payment_frequency,covered_vehicle_usage,insurer_proposer_id,proposer_id,proposer_risk_commencement_date,proposer_risk_end_date,proposer_mobile_no
POL-0010010,PR,In Force (IF),Underwritten (U),1,UIN-408,Motor Insurance,Standalone OD,MEM-12425,VEH-12932,Stand-alone OD,Urban,2025-03-21,2025-03-21,2026-03-21,2026-03-27,,Y,POL-7956965,POL-3414955,2025-03-21,2026-03-21,9506.18,8669.69,0.0,Y,Young driver surcharge,836.49,9506.18,575880.63,575880.63,0.0301093452010453,50,1000,0,0,0,0,1,1,1,0,1,1500000,Agent,AG-1912,PT-1046,UW-1453,Annually,Private,IP-73019,MEM-12425,2025-03-21,2026-03-21,97465442244
POL-0010011,NB,In Force (IF),Underwritten (U),1,UIN-906,Motor Insurance,Standalone OD,MEM-11433,VEH-13045,Stand-alone OD,Metro,2025-08-20,2025-08-20,2026-08-20,2026-08-23,,Y,,POL-0010011,2025-08-20,2026-08-20,7594.68,7594.68,0.0,N,,0.0,7594.68,386287.17,386287.17,0.019660701806056,0,700,2000,0,0,0,1,1,0,0,0,1500000,Bancassurance,AG-1328,PT-1034,UW-1235,Annually,Private,IP-56440,MEM-11433,2025-08-20,2026-08-20,97822645139
POL-0010012,NB,In Force (IF),Underwritten (U),1,UIN-302,Motor Insurance,Comprehensive,MEM-10225,VEH-14463,Comprehensive,Rural,2025-04-09,2025-04-09,2026-04-09,2026-04-14,,Y,,POL-0010012,2025-04-09,2026-04-09,82449.56,76395.98,6053.58,X,,0.0,82449.56,2115104.3,2115104.3,0.0361192485929628,0,500,1000,0,1,0,0,0,1,0,1,1500000,Agent,AG-1813,PT-1468,UW-1097,Annually,Private,IP-42773,MEM-10225,2025-04-09,2026-04-09,97235509396
POL-0010013,NB,Expired (XP),Standard (S),1,UIN-101,Motor Insurance,Comprehensive,MEM-11684,VEH-14498,Comprehensive,Rural,2023-11-19,2023-11-19,2024-11-18,2024-11-20,,N,,POL-0010013,2023-11-19,,22090.28,17379.6,4710.68,X,,0.0,22090.28,718773.2,718773.2,0.024179533698845,0,1000,1500,0,0,1,1,1,1,1,0,1500000,Agent,AG-1708,PT-1271,UW-1966,Annually,Private,IP-53265,MEM-11684,2023-11-19,2024-11-18,97106119936
POL-0010014,PR,In Force (IF),Underwritten (U),1,UIN-199,Motor Insurance,Comprehensive,MEM-10203,VEH-13185,Comprehensive,Rural,2025-06-26,2025-06-26,2026-06-26,2026-06-27,,Y,POL-9268806,POL-2643797,2025-06-26,2026-06-26,14833.22,10084.53,4748.69,X,,0.0,14833.22,531284.8,531284.8,0.0345116253387347,45,0,1500,0,1,0,1,0,0,0,0,1500000,Direct Online,AG-1838,PT-1535,UW-1717,Annually,Private,IP-74418,MEM-10203,2025-06-26,2026-06-26,97765708614
POL-0010015,PR,Expired (XP),Underwritten (U),1,UIN-894,Motor Insurance,Third-Party,MEM-12942,VEH-10932,Third-Party Only,Urban,2024-04-20,2024-04-20,2025-04-20,2025-04-27,,N,POL-3488432,POL-3406507,2024-04-20,,2996.55,0.0,2740.07,Y,NCB declaration error,256.48,2996.55,792460.74,792460.74,0.0204656537009217,0,700,0,0,0,0,1,0,1,1,1,1500000,Bancassurance,AG-1797,PT-1315,UW-1367,Monthly,Private,IP-37974,MEM-12942,2024-04-20,2025-04-20,97844554738
POL-0010016,NB,In Force (IF),Standard (S),1,UIN-335,Motor Insurance,Standalone OD,MEM-11022,VEH-10315,Stand-alone OD,Metro,2025-02-25,2025-02-25,2026-02-25,2026-03-04,,Y,,POL-0010016,2025-02-25,2026-02-25,28571.09,28571.09,0.0,X,,0.0,28571.09,692432.64,692432.64,0.041261898659906,0,1000,1000,0,0,0,1,1,0,0,0,1500000,Agent,AG-1742,PT-1361,UW-1537,Annually,Private,IP-26383,MEM-11022,2025-02-25,2026-02-25,97287672546
POL-0010017,NB,In Force (IF),Standard (S),1,UIN-517,Motor Insurance,Third-Party,MEM-12136,VEH-14687,Third-Party Only,Metro,2025-09-19,2025-09-19,2026-09-19,2026-09-25,,Y,,POL-0010017,2025-09-19,2026-09-19,7492.7,0.0,7492.7,N,,0.0,7492.7,810333.36,810333.36,0.0443173220352261,0,0,0,0,0,0,0,0,0,1,1,1500000,Agent,AG-1993,PT-1930,UW-1734,Annually,Private,IP-34170,MEM-12136,2025-09-19,2026-09-19,98091558401
POL-0010018,PR,Expired (XP),Underwritten (U),1,UIN-961,Motor Insurance,Third-Party,MEM-10657,VEH-11898,Third-Party Only,Urban,2024-10-24,2024-10-24,2025-10-24,2025-10-30,,N,POL-1353555,POL-8011535,2024-10-24,,2302.88,0.0,2302.88,N,,0.0,2302.88,461026.97,461026.97,0.0227105158841309,0,0,0,0,0,0,1,0,0,0,1,1500000,Agent,AG-1444,PT-1953,UW-1185,Annually,Private,IP-88864,MEM-10657,2024-10-24,2025-10-24,99673509966
POL-0010019,PR,In Force (IF),Underwritten (U),1,UIN-316,Motor Insurance,Standalone OD,MEM-13060,VEH-10751,Stand-alone OD,Metro,2025-01-05,2025-01-05,2026-01-05,2026-01-07,,Y,POL-7680338,POL-6281444,2025-01-05,2026-01-05,6623.47,5857.97,0.0,Y,NCB declaration error,765.5,6623.47,438457.17,438457.17,0.0267208115286486,50,500,2000,0,0,0,1,0,0,0,1,1500000,Bancassurance,AG-1862,PT-1292,UW-1393,Annually,Private,IP-82408,MEM-13060,2025-01-05,2026-01-05,98343760120
POL-0010020,PR,Expired (XP),Underwritten (U),1,UIN-724,Motor Insurance,Standalone OD,MEM-13164,VEH-11070,Stand-alone OD,Rural,2023-11-11,2023-11-11,2024-11-10,2024-11-17,,N,POL-7132623,POL-4299992,2023-11-11,,11913.02,11913.02,0.0,N,,0.0,11913.02,681457.51,681457.51,0.0174816711178043,0,500,1000,0,0,0,0,0,0,1,1,1500000,Direct Online,AG-1359,PT-1335,UW-1347,Annually,Private,IP-92806,MEM-13164,2023-11-11,2024-11-10,97424949904
POL-0010021,NB,Expired (XP),Underwritten (U),1,UIN-313,Motor Insurance,Third-Party,MEM-11929,VEH-13899,Third-Party Only,Urban,2024-05-08,2024-05-08,2025-05-08,2025-05-12,,N,,POL-0010021,2024-05-08,,5241.21,0.0,4987.77,Y,Young driver surcharge,253.44,5241.21,940121.49,940121.49,0.0159302330897749,0,700,0,0,0,0,0,0,0,0,0,1500000,Agent,AG-1617,PT-1762,UW-1169,Annually,Private,IP-99250,MEM-11929,2024-05-08,2025-05-08,99142124629
POL-0010022,PR,In Force (IF),Standard (S),1,UIN-504,Motor Insurance,Comprehensive,MEM-10433,VEH-11802,Comprehensive,Urban,2025-04-23,2025-04-23,2026-04-23,2026-04-24,,Y,POL-6477781,POL-7657193,2025-04-23,2026-04-23,16752.27,13397.27,2183.75,Y,NCB declaration error,1171.25,16752.27,507038.64,507038.64,0.0406501324424878,35,500,0,1,1,0,0,0,0,0,1,1500000,Bancassurance,AG-1123,PT-1660,UW-1366,Annually,Private,IP-20498,MEM-10433,2025-04-23,2026-04-23,97940222429
POL-0010023,NB,In Force (IF),Underwritten (U),1,UIN-543,Motor Insurance,Third-Party,MEM-10541,VEH-11455,Third-Party Only,Rural,2025-05-04,2025-05-04,2026-05-04,2026-05-08,,Y,,POL-0010023,2025-05-04,2026-05-04,5972.4,0.0,5347.97,Y,NCB declaration error,624.43,5972.400000000001,420256.14,420256.14,0.0252328492156558,0,0,0,0,0,0,0,0,0,0,0,1500000,Direct Online,AG-1411,PT-1580,UW-1757,Annually,Private,IP-76846,MEM-10541,2025-05-04,2026-05-04,97579794550
POL-0010024,PR,Expired (XP),Standard (S),1,UIN-190,Motor Insurance,Comprehensive,MEM-13061,VEH-13546,Comprehensive,Urban,2024-06-26,2024-06-26,2025-06-26,2025-07-03,,N,POL-1726894,POL-5004551,2024-06-26,,9628.64,7497.22,1669.62,Y,High risk zone,461.8,4402.79,316665.48,316665.48,0.0236755344939478,0,0,2000,0,1,0,0,0,1,0,1,1500000,Bancassurance,AG-1404,PT-1431,UW-1188,Annually,Private,IP-72815,MEM-13061,2024-06-26,2025-06-26,99408615556
POL-0010025,PR,In Force (IF),Standard (S),1,UIN-451,Motor Insurance,Third-Party,MEM-11699,VEH-11177,Third-Party Only,Urban,2025-05-18,2025-05-18,2026-05-18,2026-05-22,,Y,POL-4884673,POL-2416316,2025-05-18,2026-05-18,4938.31,0.0,4938.31,N,,0.0,4938.31,740144.25,740144.25,0.0347008530717357,50,700,0,0,0,0,1,1,1,1,0,1500000,Agent,AG-1296,PT-1721,UW-1621,Half-Yearly,Private,IP-38763,MEM-11699,2025-05-18,2026-05-18,98006265113
POL-0010026,PR,In Force (IF),Standard (S),1,UIN-898,Motor Insurance,Comprehensive,MEM-12581,VEH-11577,Comprehensive,Urban,2025-06-05,2025-06-05,2026-06-05,2026-06-08,,Y,POL-6351288,POL-1359577,2025-06-05,2026-06-05,24405.02,18087.91,3139.54,Y,NCB declaration error,3177.57,24405.02,776462.72,776462.72,0.0423550380071628,45,500,0,1,0,1,0,0,1,1,1,1500000,Direct Online,AG-1032,PT-1567,UW-1478,Annually,Private,IP-24806,MEM-12581,2025-06-05,2026-06-05,98475484307
POL-0010027,PR,In Force (IF),Underwritten (U),1,UIN-342,Motor Insurance,Comprehensive,MEM-12444,VEH-13516,Comprehensive,Urban,2025-08-19,2025-08-19,2026-08-19,2026-08-26,,Y,POL-8528328,POL-1261779,2025-08-19,2026-08-19,13970.22,11836.84,2133.38,N,,0.0,13970.22,450766.52,450766.52,0.0350124623226843,25,500,2000,0,0,1,1,1,1,1,0,1500000,Agent,AG-1723,PT-1889,UW-1616,Annually,Private,IP-65153,MEM-12444,2025-08-19,2026-08-19,99500875558
POL-0010028,PR,In Force (IF),Underwritten (U),1,UIN-441,Motor Insurance,Standalone OD,MEM-11581,VEH-10190,Stand-alone OD,Metro,2025-02-07,2025-02-07,2026-02-07,2026-02-12,,Y,POL-4549504,POL-7791359,2025-02-07,2026-02-07,8247.55,8247.55,0.0,N,,0.0,8247.55,434544.51,434544.51,0.0379594967410562,50,700,1500,0,0,0,0,1,0,1,0,1500000,Broker,AG-1322,PT-1917,UW-1003,Annually,Private,IP-64474,MEM-11581,2025-02-07,2026-02-07,98739751534
POL-0010029,PR,In Force (IF),Underwritten (U),1,UIN-628,Motor Insurance,Comprehensive,MEM-12427,VEH-10707,Comprehensive,Rural,2025-09-05,2025-09-05,2026-09-05,2026-09-06,,Y,POL-4149186,POL-4774128,2025-09-05,2026-09-05,19998.15,16281.34,3716.81,X,,0.0,19998.15,1065621.21,1065621.21,0.0190984159775896,20,500,1500,0,0,0,1,0,1,1,1,1500000,Direct Online,AG-1367,PT-1106,UW-1596,Annually,Private,IP-90810,MEM-12427,2025-09-05,2026-09-05,99127256440
POL-0010030,NB,In Force (IF),Standard (S),1,UIN-484,Motor Insurance,Third-Party,MEM-12995,VEH-14843,Third-Party Only,Urban,2025-03-17,2025-03-17,2026-03-17,2026-03-23,,Y,,POL-0010030,2025-03-17,2026-03-17,3247.74,0.0,3040.75,Y,High risk zone,206.99,3247.74,318319.31,318319.31,0.0297736158447157,0,500,0,0,0,0,0,1,0,1,1,1500000,Agent,AG-1862,PT-1175,UW-1360,Annually,Private,IP-61843,MEM-12995,2025-03-17,2026-03-17,98952941516
POL-0010031,PR,In Force (IF),Underwritten (U),1,UIN-189,Motor Insurance,Comprehensive,MEM-10287,VEH-11216,Comprehensive,Urban,2025-09-01,2025-09-01,2026-09-01,2026-09-08,,Y,POL-1025743,POL-6658252,2025-09-01,2026-09-01,20705.63,13340.72,7364.91,N,,0.0,20705.63,376071.25,376071.25,0.0443423897946573,20,500,0,0,1,0,0,0,0,1,0,1500000,Broker,AG-1191,PT-1680,UW-1037,Annually,Private,IP-41225,MEM-10287,2025-09-01,2026-09-01,97342221222
POL-0010032,NB,In Force (IF),Standard (S),1,UIN-179,Motor Insurance,Standalone OD,MEM-11093,VEH-11529,Stand-alone OD,Urban,2025-08-23,2025-08-23,2026-08-23,2026-08-28,,Y,,POL-0010032,2025-08-23,2026-08-23,21934.34,21934.34,0.0,N,,0.0,21934.34,797200.64,797200.64,0.0275142077709677,0,0,2000,0,0,0,1,1,1,1,1,1500000,Direct Online,AG-1455,PT-1273,UW-1737,Annually,Private,IP-41607,MEM-11093,2025-08-23,2026-08-23,97830711923
POL-0010033,PR,In Force (IF),Standard (S),1,UIN-903,Motor Insurance,Third-Party,MEM-11885,VEH-13795,Third-Party Only,Metro,2025-01-30,2025-01-30,2026-01-30,2026-02-05,,Y,POL-9535078,POL-3849180,2025-01-30,2026-01-30,5261.91,0.0,5261.91,N,,0.0,5261.91,591923.88,591923.88,0.0400533832338451,50,0,0,0,0,0,1,0,1,1,1,1500000,Broker,AG-1413,PT-1059,UW-1083,Annually,Private,IP-12595,MEM-11885,2025-01-30,2026-01-30,99873412870
POL-0010034,PR,Expired (XP),Underwritten (U),1,UIN-400,Motor Insurance,Third-Party,MEM-13444,VEH-13346,Third-Party Only,Urban,2024-07-13,2024-07-13,2025-07-13,2025-07-13,,N,POL-6082388,POL-7736840,2024-07-13,,3915.67,0.0,3915.67,X,,0.0,667.34,506556.81,506556.81,0.033146245995894,0,1000,0,0,0,0,0,0,0,0,0,1500000,Agent,AG-1540,PT-1914,UW-1886,Annually,Private,IP-84456,MEM-13444,2024-07-13,2025-07-13,97676133193
POL-0010035,NB,In Force (IF),Standard (S),1,UIN-962,Motor Insurance,Comprehensive,MEM-10598,VEH-13014,Comprehensive,Urban,2025-06-18,2025-06-18,2026-06-18,2026-06-25,,Y,,POL-0010035,2025-06-18,2026-06-18,27155.17,21002.46,2831.47,Y,NCB declaration error,3321.24,27155.17,567433.24,567433.24,0.0370131014170988,0,1000,0,1,0,0,0,1,0,1,0,1500000,Bancassurance,AG-1600,PT-1944,UW-1911,Annually,Private,IP-34011,MEM-10598,2025-06-18,2026-06-18,97525448349
POL-0010036,PR,Terminated (TM),Underwritten (U),1,UIN-421,Motor Insurance,Standalone OD,MEM-11679,VEH-14134,Stand-alone OD,Metro,2024-10-01,2024-10-01,2025-10-01,2025-10-01,2025-10-01,X,POL-9640838,POL-1685020,2024-10-01,,32110.2,32110.2,0.0,N,,0.0,32110.2,1416127.67,1416127.67,0.0226746488530952,0,0,0,0,0,0,1,0,1,1,0,1500000,Direct Online,AG-1871,PT-1838,UW-1394,Annually,Private,IP-86017,MEM-11679,2024-10-01,2025-10-01,97531258264
POL-0010037,PR,In Force (IF),Standard (S),1,UIN-720,Motor Insurance,Standalone OD,MEM-11005,VEH-14303,Stand-alone OD,Urban,2024-12-26,2024-12-26,2025-12-26,2025-12-26,,Y,POL-8840505,POL-5952342,2024-12-26,2025-12-26,5903.1,5903.1,0.0,X,,0.0,5903.1,292393.0,292393.0,0.0403778651446172,50,700,0,0,0,0,1,0,1,1,0,1500000,Broker,AG-1830,PT-1752,UW-1894,Annually,Private,IP-68751,MEM-11005,2024-12-26,2025-12-26,97548561486
POL-0010038,NB,In Force (IF),Standard (S),1,UIN-929,Motor Insurance,Standalone OD,MEM-11279,VEH-11668,Stand-alone OD,Urban,2025-01-30,2025-01-30,2026-01-30,2026-02-03,,Y,,POL-0010038,2025-01-30,2026-01-30,25352.56,25352.56,0.0,N,,0.0,25352.56,862245.34,862245.34,0.029402957049722,0,1000,1000,0,0,0,1,0,1,0,1,1500000,Agent,AG-1619,PT-1191,UW-1569,Half-Yearly,Private,IP-80947,MEM-11279,2025-01-30,2026-01-30,98895681729
POL-0010039,PR,In Force (IF),Standard (S),1,UIN-744,Motor Insurance,Third-Party,MEM-11506,VEH-12830,Third-Party Only,Urban,2025-06-21,2025-06-21,2026-06-21,2026-06-21,,Y,POL-7246446,POL-3386130,2025-06-21,2026-06-21,6061.58,0.0,6061.58,N,,0.0,6061.58,739451.23,739451.23,0.0367593854556657,45,0,0,0,0,0,1,1,0,0,1,1500000,Broker,AG-1038,PT-1124,UW-1322,Annually,Private,IP-25911,MEM-11506,2025-06-21,2026-06-21,98312582938
POL-0010040,NB,In Force (IF),Standard (S),1,UIN-534,Motor Insurance,Comprehensive,MEM-12504,VEH-10720,Comprehensive,Metro,2025-10-22,2025-10-22,2026-10-22,2026-10-22,,Y,,POL-0010040,2025-10-22,2026-10-22,21296.67,15885.35,5411.32,N,,0.0,21296.67,364133.36,364133.36,0.0436250884709659,0,500,1500,0,1,1,1,1,1,0,0,1500000,Bancassurance,AG-1863,PT-1521,UW-1286,Annually,Private,IP-94189,MEM-12504,2025-10-22,2026-10-22,99459327519
POL-0010041,PR,In Force (IF),Underwritten (U),1,UIN-913,Motor Insurance,Comprehensive,MEM-11755,VEH-12717,Comprehensive,Rural,2025-08-21,2025-08-21,2026-08-21,2026-08-21,,Y,POL-7200517,POL-3649551,2025-08-21,2026-08-21,23066.75,19538.07,3528.68,N,,0.0,23066.75,1456151.89,1456151.89,0.0167720078820986,20,0,1000,0,1,0,0,0,1,0,0,1500000,Bancassurance,AG-1740,PT-1733,UW-1420,Annually,Private,IP-33555,MEM-11755,2025-08-21,2026-08-21,99146773203
POL-0010042,NB,In Force (IF),Standard (S),1,UIN-870,Motor Insurance,Third-Party,MEM-11531,VEH-13718,Third-Party Only,Urban,2025-04-08,2025-04-08,2026-04-08,2026-04-09,,Y,,POL-0010042,2025-04-08,2026-04-08,3013.07,0.0,3013.07,N,,0.0,3013.07,265368.38,265368.38,0.034027511705178,0,1000,0,0,0,0,0,0,1,1,0,1500000,Agent,AG-1896,PT-1761,UW-1536,Annually,Private,IP-13320,MEM-11531,2025-04-08,2026-04-08,99070088764
POL-0010043,PR,In Force (IF),Standard (S),1,UIN-356,Motor Insurance,Comprehensive,MEM-12512,VEH-10912,Comprehensive,Metro,2025-03-07,2025-03-07,2026-03-07,2026-03-11,,Y,POL-1673366,POL-8675343,2025-03-07,2026-03-07,14879.62,11220.78,3658.84,N,,0.0,14879.62,592933.67,592933.67,0.0236552022558085,20,700,0,0,1,0,0,1,1,1,1,1500000,Agent,AG-1228,PT-1246,UW-1501,Annually,Private,IP-65810,MEM-12512,2025-03-07,2026-03-07,97347031105
POL-0010044,NB,Terminated (TM),Underwritten (U),1,UIN-905,Motor Insurance,Third-Party,MEM-11776,VEH-11791,Third-Party Only,Urban,2023-12-18,2023-12-18,2024-12-17,2024-12-19,2024-12-17,X,,POL-0010044,2023-12-18,,1838.79,0.0,1838.79,N,,0.0,1838.79,551889.06,551889.06,0.0192907162510464,0,1000,0,0,0,0,1,0,1,1,0,1500000,Bancassurance,AG-1803,PT-1947,UW-1505,Annually,Private,IP-81201,MEM-11776,2023-12-18,2024-12-17,97008692338
POL-0010045,NB,In Force (IF),Standard (S),1,UIN-313,Motor Insurance,Standalone OD,MEM-12168,VEH-13778,Stand-alone OD,Urban,2024-11-16,2024-11-16,2025-11-16,2025-11-22,,Y,,POL-0010045,2024-11-16,2025-11-16,27356.88,27356.88,0.0,X,,0.0,27356.88,697138.38,697138.38,0.0392416721482386,0,500,0,0,0,0,1,0,1,0,0,1500000,Direct Online,AG-1985,PT-1645,UW-1616,Annually,Private,IP-12975,MEM-12168,2024-11-16,2025-11-16,99830347702
POL-0010046,NB,In Force (IF),Underwritten (U),1,UIN-235,Motor Insurance,Third-Party,MEM-13489,VEH-14019,Third-Party Only,Urban,2024-11-26,2024-11-26,2025-11-26,2025-11-29,,Y,,POL-0010046,2024-11-26,2025-11-26,4309.11,0.0,4034.8,Y,Young driver surcharge,274.31,4309.110000000001,847254.62,847254.62,0.0290836382882929,0,1000,0,0,0,0,0,1,0,0,1,1500000,Agent,AG-1845,PT-1153,UW-1668,Monthly,Private,IP-99321,MEM-13489,2024-11-26,2025-11-26,98221485068
POL-0010047,PR,Expired (XP),Underwritten (U),1,UIN-508,Motor Insurance,Comprehensive,MEM-12392,VEH-12982,Comprehensive,Rural,2024-03-04,2024-03-04,2025-03-04,2025-03-05,,N,POL-5226660,POL-3898307,2024-03-04,,23408.8,15039.88,6140.35,Y,High risk zone,2228.57,23408.8,596395.51,596395.51,0.0252179584952928,0,1000,2000,1,0,0,0,1,1,1,0,1500000,Agent,AG-1527,PT-1815,UW-1682,Annually,Private,IP-47645,MEM-12392,2024-03-04,2025-03-04,99019012930
POL-0010048,NB,In Force (IF),Standard (S),1,UIN-328,Motor Insurance,Comprehensive,MEM-12778,VEH-14935,Comprehensive,Urban,2024-12-07,2024-12-07,2025-12-07,2025-12-13,,Y,,POL-0010048,2024-12-07,2025-12-07,20864.59,19218.46,1646.13,X,,0.0,20864.59,1205754.69,1205754.69,0.0159389479691979,0,500,1500,1,1,1,1,1,1,1,1,1500000,Agent,AG-1873,PT-1241,UW-1921,Annually,Private,IP-38877,MEM-12778,2024-12-07,2025-12-07,97336225163
