damaged_part_key,reference_num,product_index,claim_id,manufacturer_name,model_name,model_variant,num_parts_group_cd,txt_parts_group_name,txt_parts_name,cur_garage_estimate,cur_billed_amount,cur_surveyor_approval,num_tax,cur_tax_amount,num_depreciation,cur_depreciation_amount,cur_net_amount,txt_info1,txt_info2,txt_info3,num_part_code,txt_repair_type,dat_insert_date,surveyor_id,garage_id
DPRT-000017,703d5c0e-6a99-4b25-b7ef-da4d9fe45da7,N010976,CLM-00002,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 ZX MT 7 STR,1,Metalic Parts,AC Condenser Assembly,13994.73,13068.87,13068.87,28.0,3659.28,40.0,5227.55,11500.6,Part ordered late,Surveyor noted minor scratch,,133,Replace,2025-11-03,SUR-13,GAR-132
DPRT-000018,e1bf41b8-ed52-4070-9b7b-458538a11756,N010976,CLM-00003,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Bumper Rear Assembly,8247.72,7822.89,7822.89,5.0,391.14,40.0,3129.16,5084.87,Pre-existing damage suspected,Customer escalated delay,,347,Replace,2025-11-03,SUR-14,GAR-185
DPRT-000019,420b8440-ce51-4266-a070-5e63e641c34f,N010976,CLM-00003,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Head Light Right,22005.73,20029.33,20029.33,28.0,5608.21,40.0,8011.73,17625.81,Rush job,Surveyor noted minor scratch,,367,Replace,2025-11-03,SUR-14,GAR-185
DPRT-000020,99420ccb-de1d-4420-8f83-14be8aa38ae0,N010976,CLM-00003,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Tail Light Right,7270.43,6785.09,6785.09,28.0,1899.83,15.0,1017.76,7667.16,,Customer escalated delay,,336,Replace,2025-11-03,SUR-14,GAR-185
DPRT-000021,8c12a16b-3c20-4a16-bd0d-b2ff34cb4b8c,N010976,CLM-00003,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Bracket 1,576.57,527.14,527.14,28.0,147.6,40.0,210.86,463.88,Pre-existing damage suspected,Surveyor noted minor scratch,,360,Replace,2025-11-03,SUR-14,GAR-185
DPRT-000022,2cddb548-1575-41cc-bd63-05bb423b8e7b,N010976,CLM-00003,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,6,Consumable,CLIP,518.77,477.55,477.55,18.0,85.96,15.0,71.63,491.88,Pre-existing damage suspected,Customer escalated delay,,522,Replace,2025-11-03,SUR-14,GAR-185
DPRT-000023,6c3774ee-ff9c-41db-b9f3-76da743682c2,N010976,CLM-00003,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Tail Light Left,7702.49,7008.23,7008.23,28.0,1962.3,40.0,2803.29,6167.24,,Surveyor noted minor scratch,,326,Replace,2025-11-03,SUR-14,GAR-185
DPRT-000024,71a24fad-89c2-41a3-81d9-c9be05129af0,N010977,CLM-00004,MARUTI,BALENO HATCHBACK,Delta 1.2,3,Rubber Plastic Parts,Head Light Right,18020.5,16414.62,16414.62,28.0,4596.09,10.0,1641.46,19369.25,,Surveyor noted minor scratch,,367,Replace,2025-11-03,SUR-53,GAR-135
DPRT-000025,a7a4ccf5-1791-44e9-b795-a10174833ed5,N010977,CLM-00004,MARUTI,BALENO HATCHBACK,Delta 1.2,1,Metalic Parts,Lower Arm Front Left,3811.41,3549.7,3549.7,28.0,993.92,40.0,1419.88,3123.74,,Customer escalated delay,,193,Replace,2025-11-03,SUR-53,GAR-135
DPRT-000026,bd49e23c-7ba0-45fa-8d16-44c46b6ceea4,N010977,CLM-00004,MARUTI,BALENO HATCHBACK,Delta 1.2,1,Metalic Parts,Fender Panel Front Right,4058.14,3851.43,3851.43,28.0,1078.4,40.0,1540.57,3389.26,Pre-existing damage suspected,Customer escalated delay,,194,Replace,2025-11-03,SUR-53,GAR-135
DPRT-000027,746a85ad-5d10-4704-8ae5-f21933466a37,N010977,CLM-00004,MARUTI,BALENO HATCHBACK,Delta 1.2,1,Metalic Parts,A Pillar Front Right,10003.07,9435.92,9435.92,28.0,2642.06,35.0,3302.57,8775.41,,Surveyor noted minor scratch,,104,Replace,2025-11-03,SUR-53,GAR-135
DPRT-000028,34837855-1ee7-4155-8dff-05c16fe790aa,N010977,CLM-00004,MARUTI,BALENO HATCHBACK,Delta 1.2,1,Metalic Parts,Fender Panel Front Left,4274.68,3935.82,3935.82,28.0,1102.03,15.0,590.37,4447.48,Pre-existing damage suspected,Customer escalated delay,,171,Replace,2025-11-03,SUR-53,GAR-135
DPRT-000029,19642ca4-033a-44b5-a04e-8c5a07cdb390,N010977,CLM-00004,MARUTI,BALENO HATCHBACK,Delta 1.2,1,Metalic Parts,Lower Arm Front Right,3508.85,3314.5,3314.5,28.0,928.06,0.0,0.0,4242.56,Part ordered late,Surveyor noted minor scratch,,196,Replace,2025-11-03,SUR-53,GAR-135
DPRT-000030,596425eb-4e85-4adc-aebd-113bf94c1ea1,N010977,CLM-00004,MARUTI,BALENO HATCHBACK,Delta 1.2,3,Rubber Plastic Parts,Head Light Left,18913.23,17333.72,17333.72,0.0,0.0,40.0,6933.49,10400.23,Pre-existing damage suspected,Customer escalated delay,,328,Replace,2025-11-03,SUR-53,GAR-135
DPRT-000031,bc60c82b-5b81-4f49-86e9-b0344fd7c0bb,N010977,CLM-00004,MARUTI,BALENO HATCHBACK,Delta 1.2,1,Metalic Parts,Door Rear Right,19105.05,17629.88,17629.88,28.0,4936.37,40.0,7051.95,15514.3,Pre-existing damage suspected,Surveyor noted minor scratch,,187,Replace,2025-11-03,SUR-53,GAR-135
DPRT-000032,19434eee-3e5c-43cc-b312-009a67a9908f,N055527,CLM-00005,HONDA,AMAZE,1.2 VXMT i-VTEC,1,Metalic Parts,Quarter Panel Rear Right,18323.47,17419.06,17419.06,18.0,3135.43,40.0,6967.62,13586.87,Rush job,Customer escalated delay,,131,Replace,2025-11-03,SUR-21,GAR-193
DPRT-000033,2a71ebca-d3d3-4ccc-9cbb-cb399ea94f6c,N055527,CLM-00005,HONDA,AMAZE,1.2 VXMT i-VTEC,3,Rubber Plastic Parts,Bracket 1,516.14,490.75,490.75,28.0,137.41,40.0,196.3,431.86,Pre-existing damage suspected,Surveyor noted minor scratch,,360,Replace,2025-11-03,SUR-21,GAR-193
DPRT-000034,335e0d77-39b6-4da0-b395-16e4020d341a,N055527,CLM-00005,HONDA,AMAZE,1.2 VXMT i-VTEC,4,Glass Parts,Windshield Glass Front,15065.67,14221.08,14221.08,28.0,3981.9,10.0,1422.11,16780.87,,Customer escalated delay,,407,Replace,2025-11-03,SUR-21,GAR-193
DPRT-000035,141fb268-4e9d-48eb-b010-262b6e92eb71,N055527,CLM-00005,HONDA,AMAZE,1.2 VXMT i-VTEC,3,Rubber Plastic Parts,Bumper Rear Assembly,7827.62,7282.88,7282.88,28.0,2039.21,15.0,1092.43,8229.66,Rush job,,,347,Replace,2025-11-03,SUR-21,GAR-193
DPRT-000036,21edfafa-77b0-4843-97c9-1a3d88f35d66,N055527,CLM-00005,HONDA,AMAZE,1.2 VXMT i-VTEC,1,Metalic Parts,Hinge Bonnet|Hood Right,1073.64,989.0,989.0,18.0,178.02,40.0,395.6,771.42,,,,104,Replace,2025-11-03,SUR-21,GAR-193
DPRT-000037,43618538-8381-4b56-b868-60ca72ad20cc,N010977,CLM-00006,MARUTI,BALENO HATCHBACK,Delta 1.2,1,Metalic Parts,Door Rear Left,20885.3,19000.9,19000.9,28.0,5320.25,40.0,7600.36,16720.79,,Customer escalated delay,,150,Replace,2025-11-03,SUR-47,GAR-142
DPRT-000038,e3339690-1cc8-4cd0-8a7d-a0353c61c75b,N010977,CLM-00006,MARUTI,BALENO HATCHBACK,Delta 1.2,3,Rubber Plastic Parts,Bracket 2,491.26,466.37,466.37,28.0,130.58,0.0,0.0,596.95,Pre-existing damage suspected,Surveyor noted minor scratch,,319,Replace,2025-11-03,SUR-47,GAR-142
DPRT-000039,80f40af5-18f5-42b9-b1f7-9afa3f97bee1,N010977,CLM-00006,MARUTI,BALENO HATCHBACK,Delta 1.2,3,Rubber Plastic Parts,Tail Light Left,6261.85,5895.74,5895.74,28.0,1650.81,0.0,0.0,7546.55,Rush job,Surveyor noted minor scratch,,326,Replace,2025-11-03,SUR-47,GAR-142
DPRT-000040,6bc1de32-3444-4ed1-be36-6962505d634c,N010977,CLM-00007,MARUTI,ERTIGA,1.5 VXI CNG,1,Metalic Parts,Fender Panel Front Right,4235.31,3912.41,3912.41,28.0,1095.47,40.0,1564.96,3442.92,Pre-existing damage suspected,Surveyor noted minor scratch,,194,Replace,2025-11-03,SUR-15,GAR-100
DPRT-000041,fed9163a-2f28-4438-8c7f-7a7b4a2f4f59,N010977,CLM-00007,MARUTI,ERTIGA,1.5 VXI CNG,3,Rubber Plastic Parts,Bumper Front Assembly,5493.46,5169.21,5169.21,28.0,1447.38,40.0,2067.68,4548.91,,Surveyor noted minor scratch,,341,Replace,2025-11-03,SUR-15,GAR-100
DPRT-000042,e49ab5b7-2fc3-4a12-b640-ed7d370227a5,N010977,CLM-00007,MARUTI,ERTIGA,1.5 VXI CNG,3,Rubber Plastic Parts,Radiator Assembly,7550.02,7078.24,7078.24,28.0,1981.91,15.0,1061.74,7998.41,Rush job,,,342,Replace,2025-11-03,SUR-15,GAR-100
DPRT-000043,2e60bed4-0f51-47aa-99f6-bdc8ecf175d7,N010977,CLM-00007,MARUTI,ERTIGA,1.5 VXI CNG,1,Metalic Parts,AC Condenser Assembly,10518.81,9925.58,9925.58,28.0,2779.16,10.0,992.56,11712.18,,,,133,Replace,2025-11-03,SUR-15,GAR-100
DPRT-000044,9589fcbf-0075-4e05-9dfd-2fa37ee9bc24,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,1,Metalic Parts,Fender Panel Front Left,5130.27,4802.2,4802.2,28.0,1344.62,0.0,0.0,6146.82,Pre-existing damage suspected,Surveyor noted minor scratch,,171,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000045,c61c2eb0-e68c-4bf6-b6c5-e17b467d5f9f,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,1,Metalic Parts,Carrier Radiator Support Upper Member,3221.68,3002.64,3002.64,18.0,540.48,0.0,0.0,3543.12,Rush job,Surveyor noted minor scratch,,176,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000046,2f8c47f3-a623-4a0f-861f-121de1e7aebc,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Bracket 2,609.3,554.33,554.33,28.0,155.21,40.0,221.73,487.81,Rush job,Surveyor noted minor scratch,,319,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000047,0c10c6a8-e504-47cc-a50f-ce726fc9cd68,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Bumper Front Assembly,6786.19,6208.79,6208.79,28.0,1738.46,40.0,2483.52,5463.73,Pre-existing damage suspected,Surveyor noted minor scratch,,341,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000048,cdd9c6ca-24dc-48a8-9c23-aca1975b58d4,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Fog Light Front Left,6184.86,5865.01,5865.01,28.0,1642.2,40.0,2346.0,5161.21,Pre-existing damage suspected,Surveyor noted minor scratch,,313,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000049,4ebce8ea-ff9f-4e30-b86a-70ce5aac8ea6,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,1,Metalic Parts,Bonnet|Hood Assembly,15330.34,13988.62,13988.62,28.0,3916.81,40.0,5595.45,12309.98,Pre-existing damage suspected,,,181,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000050,2b02e4fc-e892-407c-81fd-9cf8cf10f54d,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,1,Metalic Parts,Hinge Bonnet|Hood Left,1153.55,1053.92,1053.92,28.0,295.1,10.0,105.39,1243.63,Rush job,Customer escalated delay,,189,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000051,69a51f79-4d89-46fd-9ed6-9b7972730e72,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Fender Wheel Well Lining|Guard|Cover Right,1445.01,1368.26,1368.26,28.0,383.11,40.0,547.3,1204.07,Part ordered late,Customer escalated delay,,353,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000052,6a5e2f29-a524-4343-934f-e2d4dea0219b,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Bumper Under Guard Cover,2359.16,2237.6,2237.6,28.0,626.53,40.0,895.04,1969.09,Rush job,,,344,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000053,2db24aff-7708-42c1-ab76-a950ad8fac05,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Grille Radiator Lower,2492.87,2370.22,2370.22,18.0,426.64,10.0,237.02,2559.84,Pre-existing damage suspected,Surveyor noted minor scratch,,389,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000054,5b40818c-05cf-425c-8f0b-30dcb021bba2,N010977,CLM-00008,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,3,Rubber Plastic Parts,Head Light Left,22666.85,21149.31,21149.31,28.0,5921.81,40.0,8459.72,18611.4,Rush job,,,328,Replace,2025-11-03,SUR-58,GAR-123
DPRT-000055,2175498e-0b07-42bb-8f4b-e63ecc97d540,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Bumper Front Assembly,5596.2,5136.89,5136.89,0.0,0.0,40.0,2054.76,3082.13,Pre-existing damage suspected,Surveyor noted minor scratch,,341,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000056,60289583-2c93-43ef-b673-5e8aca801dfd,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,6,Consumable,CLIP,424.08,395.08,395.08,28.0,110.62,40.0,158.03,347.67,Pre-existing damage suspected,Surveyor noted minor scratch,,522,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000057,287288b2-223d-49eb-a5b7-eee0c1f10ba7,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,1,Metalic Parts,Hinge Bonnet|Hood Left,957.31,871.97,871.97,0.0,0.0,40.0,348.79,523.18,Pre-existing damage suspected,Customer escalated delay,,189,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000058,01ae5c0a-a5bd-4ecd-aa4b-865fb8f75b6c,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Radiator Cooling Fan Assembly,7748.34,7089.4,7089.4,28.0,1985.03,40.0,2835.76,6238.67,Rush job,Surveyor noted minor scratch,,347,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000059,d38c0108-b16c-4fa7-9af2-17d59a1acc6d,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Bracket 1,468.96,436.1,436.1,28.0,122.11,0.0,0.0,558.21,Part ordered late,Surveyor noted minor scratch,,360,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000060,7f334f80-2ca2-4b2a-a5b9-646741adb469,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,1,Metalic Parts,Fender Panel Front Left,4267.04,3973.13,3973.13,28.0,1112.48,0.0,0.0,5085.61,Pre-existing damage suspected,Surveyor noted minor scratch,,171,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000061,bef95e59-cc5d-45ed-b6b3-344e5fca39d8,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,6,Consumable,Retainer Assembly Front Bumper Cover Mounting 1,389.32,368.23,368.23,28.0,103.1,40.0,147.29,324.04,,,,560,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000062,de93fb1a-2af8-47cb-8908-37c875783222,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Cover Fog Light Right,1007.21,920.97,920.97,28.0,257.87,40.0,368.39,810.45,Rush job,Customer escalated delay,,385,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000063,29e9114b-3158-4760-a163-35533fdca834,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Grille Radiator Upper,5174.61,4900.16,4900.16,18.0,882.03,10.0,490.02,5292.17,Pre-existing damage suspected,,,384,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000064,80ceee35-1785-4cbe-b847-3d99c972456c,N014289,CLM-00009,MARUTI,SWIFT,1.2 VXi BS IV,1,Metalic Parts,Carrier Radiator Support Center Member 1,3777.61,3527.16,3527.16,28.0,987.6,40.0,1410.86,3103.9,Pre-existing damage suspected,Surveyor noted minor scratch,,172,Replace,2025-11-03,SUR-38,GAR-137
DPRT-000065,63001e62-52b7-4dc5-8785-37061e8cc020,N014290,CLM-00010,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Bumper Front Assembly,5407.35,5141.68,5141.68,28.0,1439.67,25.0,1285.42,5295.93,Part ordered late,Customer escalated delay,,341,Replace,2025-11-03,SUR-56,GAR-168
DPRT-000066,5910e030-b63b-464d-9a4c-2b7959c40c04,N014290,CLM-00010,MARUTI,SWIFT,1.2 VXi BS IV,6,Consumable,CLIP,428.98,395.45,395.45,28.0,110.73,0.0,0.0,506.18,Part ordered late,Surveyor noted minor scratch,,522,Replace,2025-11-03,SUR-56,GAR-168
DPRT-000067,00787285-8d80-4176-b79a-24051bf6c35d,N003410,CLM-00011,MARUTI,SWIFT,VXI,3,Rubber Plastic Parts,Radiator Assembly,7808.69,7263.23,7263.23,18.0,1307.38,40.0,2905.29,5665.32,Pre-existing damage suspected,Surveyor noted minor scratch,,342,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000068,00dc10d6-db4e-49ea-a929-c70e5f340847,N003410,CLM-00011,MARUTI,SWIFT,VXI,3,Rubber Plastic Parts,Bracket Front Bumper Left,290.52,270.16,270.16,28.0,75.64,0.0,0.0,345.8,Pre-existing damage suspected,Customer escalated delay,,324,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000069,ce811f5c-e129-4df3-8bf6-8219171cfdab,N003410,CLM-00011,MARUTI,SWIFT,VXI,3,Rubber Plastic Parts,Head Light Right,18565.1,17110.28,17110.28,28.0,4790.88,40.0,6844.11,15057.05,Part ordered late,Surveyor noted minor scratch,,367,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000070,f4169817-65d8-42cd-8697-651a5077cc0d,N003410,CLM-00011,MARUTI,SWIFT,VXI,4,Glass Parts,Windshield Glass Front,14048.52,13049.3,13049.3,28.0,3653.8,25.0,3262.32,13440.78,,,,407,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000071,5d788b8e-d9d4-4691-a159-6b3999583877,N003410,CLM-00011,MARUTI,SWIFT,VXI,3,Rubber Plastic Parts,Bumper Front Assembly,5575.77,5304.31,5304.31,28.0,1485.21,40.0,2121.72,4667.8,Rush job,Surveyor noted minor scratch,,341,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000072,a518c423-6469-4b04-adfe-28bc6b26c927,N003410,CLM-00011,MARUTI,SWIFT,VXI,3,Rubber Plastic Parts,Sealant Front Windshield Glass 1,2424.14,2281.45,2281.45,28.0,638.81,40.0,912.58,2007.68,Part ordered late,Customer escalated delay,,385,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000073,45438304-c134-4586-9745-3a7a90a62664,N003410,CLM-00011,MARUTI,SWIFT,VXI,3,Rubber Plastic Parts,Grille Radiator Middle,6952.74,6344.01,6344.01,28.0,1776.32,0.0,0.0,8120.33,Part ordered late,,,339,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000074,1c663061-8800-4ab8-97c2-6239fe5fb233,N003410,CLM-00011,MARUTI,SWIFT,VXI,1,Metalic Parts,Fender Panel Front Right,4397.29,4014.66,4014.66,28.0,1124.1,0.0,0.0,5138.76,,,,194,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000075,e112af23-b0a3-41d6-813b-7c589c4733e4,N003410,CLM-00011,MARUTI,SWIFT,VXI,3,Rubber Plastic Parts,Grille Radiator Lower,2220.46,2024.93,2024.93,0.0,0.0,0.0,0.0,2024.93,,Surveyor noted minor scratch,,389,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000076,a7f223a5-f2d3-4249-9610-d3dbb9dd57fd,N003410,CLM-00011,MARUTI,SWIFT,VXI,1,Metalic Parts,Bumper Rail Front,5132.24,4817.51,4817.51,0.0,0.0,40.0,1927.0,2890.51,,Customer escalated delay,,157,Replace,2025-11-03,SUR-42,GAR-110
DPRT-000077,b8bd76c9-b5cc-41ce-8500-1b45b0098c0f,N003410,CLM-00011,MARUTI,SWIFT,VXI,3,Rubber Plastic Parts,Radiator Cooling Fan Assembly,7800.74,7320.46,7320.46,18.0,1317.68,10.0,732.05,7906.09,Part ordered late,Customer escalated delay,,347,Replace,2025-11-03,SUR-42,GAR-110
