vehicle_id,vin_code,registration_id,vehicle_make,vehicle_model,vehicle_variant,vehicle_valuation,vehicle_age,vehicle_mfg_year,vehicle_reg_date,rto_details,vehicle_body_type,vehicle_engine_fuel_type,vehicle_engine_capacity,safety_flag_driver_airbag,safety_flag_passenger_airbag,safety_flag_side_airbag,safety_flag_abs,security_features_flag,kilometers_driven,usage_type,prev_damage_desc,modification_desc,vehicle_transfer_date
VEH-10022,ZRA12F46R154796010,KA54A2763,HONDA,AMAZE,VX PETROL,529552.89,12,2013,2013-11-20,Ma-NAG,Sedan,Petrol,1199,1,0,0,1,0,40983,Private,None,,
VEH-10023,BRB38T48S312805217,MH23A1301,MARUTI,WAGON R,1.0 LXI CNG,333672.35,13,2012,2012-08-13,We-HOW,Hatchback,CNG,998,0,0,0,1,1,136420,Private,Minor scratches,None,
VEH-10024,DPN58Z18R805900732,WB76D6542,MARUTI,BALENO HATCHBACK,Delta 1.2,478989.55,10,2015,2015-10-10,We-HOW,Hatchback,Petrol,1197,0,0,1,0,0,147435,Private,Dent on door,Alloy wheels,
VEH-10025,LWE02I21B699594423,WB01D2504,MARUTI,VITARA BREZZA,VXI,598736.94,10,2015,2015-05-21,We-HOW,SUV,Petrol,1462,0,0,1,1,1,87269,Commercial,Minor scratches,None,
VEH-10026,LEO63I11U832474686,TN40B1627,MARUTI,SWIFT,VXI,419115.86,10,2015,2015-06-23,Ma-PUN,Hatchback,Petrol,1197,0,1,0,1,1,1259,Private,None,Alloy wheels,
VEH-10027,BLU86O69R940033338,RJ87D9581,MARUTI,BALENO HATCHBACK,Zeta 1.2,597078.39,8,2017,2017-01-03,Ma-NAG,Hatchback,Petrol,1197,0,0,1,1,0,23798,Private,,None,
VEH-10028,XRT68Y64P772039355,UP98C9269,MARUTI,ERTIGA,1.5 VXI CNG,943112.5,3,2022,2022-07-04,Ka-MYS,MUV,CNG,1462,0,0,0,1,1,34694,Private,Minor scratches,None,
VEH-10029,PLW69Q61G814162460,MH72B8788,MARUTI,ALTO,K10 VXI,297198.05,12,2013,2013-12-04,We-HOW,Hatchback,Petrol,998,0,1,0,0,0,82775,Private,Dent on door,,
VEH-10030,EWX69Y62E061471628,GJ67D6007,MARUTI,ALTO 800,LXI,216144.04,12,2013,2013-10-14,Ka-MYS,Hatchback,Petrol,796,1,0,0,1,0,95307,Private,Minor scratches,,
VEH-10031,UGS26J98H873369889,DL78D5918,MARUTI,ALTO 800,LXI,205336.83,13,2012,2012-01-01,We-KOL,Hatchback,Petrol,796,1,1,0,1,0,17048,Private,Minor scratches,,
VEH-10032,EJG48U43C241699029,GJ52A7124,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,364032.06,11,2014,2014-09-20,Ta-COI,Hatchback,Petrol,1197,1,1,0,1,1,117447,Commercial,Dent on door,Alloy wheels,2016-04-05
VEH-10033,LEZ61O61P793154592,TN33C6968,HONDA,AMAZE,1.2 VXMT i-VTEC,586762.2,10,2015,2015-12-04,Ka-BAN,Sedan,Petrol,1199,0,1,0,1,0,68821,Private,Dent on door,Body kit,
VEH-10034,DEQ04Q24C673642969,RJ33B9741,MARUTI,DZIRE,VXI,530736.35,8,2017,2017-07-24,De-NEW,Sedan,Petrol,1197,0,0,1,1,0,34323,Private,Minor scratches,,
VEH-10035,BJW04K58F622996732,WB28D1324,MARUTI,WAGON R,1.0 VXI,600000.0,0,2025,2025-12-09,Ta-COI,Hatchback,Petrol,998,0,1,1,1,0,111328,Private,Dent on door,Body kit,
VEH-10036,AAV71A80R500303398,MH55A5154,MARUTI,SWIFT DZIRE,VDI,414523.73,14,2011,2011-11-03,Ma-MUM,Sedan,Diesel,1248,0,0,0,1,1,128204,Private,Minor scratches,,
VEH-10037,JJY60Y11I515798312,DL22A5169,MARUTI,BALENO HATCHBACK,Zeta 1.2,538863.25,10,2015,2015-05-25,Ma-MUM,Hatchback,Petrol,1197,1,1,0,0,0,42497,Private,Minor scratches,None,
VEH-10038,TGL34J41R418292320,UP72A2092,MARUTI,SWIFT,1.2 VXi BS IV,650000.0,0,2025,2025-09-12,Ma-NAG,Hatchback,Petrol,1197,0,1,0,1,0,140563,Private,Dent on door,Body kit,
VEH-10039,YIO80D12Q302125002,UP31D4381,MARUTI,ERTIGA,1.5 VXI CNG,536442.48,14,2011,2011-08-16,Ta-MAD,MUV,CNG,1462,0,1,0,1,1,122820,Private,,Body kit,
VEH-10040,AVC41X39M607627724,TN82A1296,HYUNDAI,CRETA,1.4 E Plus,862446.56,8,2017,2017-02-22,Ma-MUM,SUV,Diesel,1582,0,0,0,1,0,72590,Private,,,
VEH-10041,ZPM43J14R133254252,WB82B7750,MARUTI,ERTIGA,1.5 VXI CNG,729762.47,8,2017,2017-07-19,Ta-MAD,MUV,CNG,1462,0,1,0,0,0,70075,Private,Minor scratches,Body kit,
VEH-10042,YUN62N12C809874109,MH08B1624,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.8 Z 7 STR,2256250.0,2,2023,2023-04-08,Ma-NAG,MUV,Diesel,2755,1,0,0,1,0,114339,Private,Dent on door,None,
VEH-10043,TJY95J31W313448450,RJ16A8261,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.8 ZX AT 7 STR,1724893.12,8,2017,2017-11-03,De-GUR,MUV,Diesel,2755,0,0,1,1,0,91495,Private,Minor scratches,None,
VEH-10044,RGC21A09F681674034,RJ06A9758,MARUTI,BALENO HATCHBACK,Zeta 1.2,416962.11,15,2010,2010-09-06,We-KOL,Hatchback,Petrol,1197,1,1,1,1,0,31716,Private,Dent on door,None,2012-11-04
VEH-10045,RMM09A35J148873477,MH09B8750,MARUTI,DZIRE,VXI,530736.35,8,2017,2017-10-13,De-NEW,Sedan,Petrol,1197,0,1,0,1,0,10912,Private,Dent on door,Alloy wheels,2019-03-05
VEH-10046,QYU69P86G525865879,TN91C4137,MARUTI,SWIFT,1.2 VXi BS IV,586625.0,2,2023,2023-05-27,We-HOW,Hatchback,Petrol,1197,1,1,0,0,1,132479,Private,,Body kit,
VEH-10047,FWV61D41L321213821,KA90D2460,MARUTI,VITARA BREZZA,VXI,598736.94,10,2015,2015-12-05,We-KOL,SUV,Petrol,1462,0,0,0,0,0,18341,Private,Minor scratches,None,2017-03-06
VEH-10048,WRM52M10H452555343,MH51C2974,MARUTI,WAGON R,1.0 VXI,570000.0,1,2024,2024-02-25,Ka-MYS,Hatchback,Petrol,998,1,0,0,0,1,147823,Private,,,2025-10-30
VEH-10049,ZCJ04R74U560464856,KA37D4055,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,570154.37,4,2021,2021-08-18,Ka-MYS,Hatchback,Petrol,1197,0,1,0,1,0,22077,Private,Minor scratches,Body kit,
VEH-10050,EKX65I59N187605731,KA79C3327,HYUNDAI,CRETA,1.4 E Plus,633977.47,14,2011,2011-06-09,Ma-MUM,SUV,Diesel,1582,1,0,0,1,0,80400,Private,,Body kit,
VEH-10051,CJH71V45Q898695481,GJ25C8927,MARUTI,WAGON R,1.0 LXI CNG,431223.28,8,2017,2017-03-09,We-KOL,Hatchback,CNG,998,0,0,1,1,1,101674,Private,Dent on door,None,
VEH-10052,JIK22W88V797555848,GJ71A8737,MARUTI,BALENO HATCHBACK,Delta 1.2,455040.07,11,2014,2014-12-26,We-KOL,Hatchback,Petrol,1197,1,1,0,0,1,19569,Private,,None,
VEH-10053,JQH50I15V724156084,KA75C5430,MAHINDRA,SCORPIO,S11 2WD 7STR,1624500.0,2,2023,2023-08-10,Ta-COI,SUV,Diesel,2184,1,1,0,1,0,69768,Private,Dent on door,Body kit,2026-01-31
VEH-10054,OUK77Y69B444216799,TN52C2905,MARUTI,BALENO HATCHBACK,Zeta 1.2,628503.57,7,2018,2018-07-03,We-KOL,Hatchback,Petrol,1197,0,1,0,1,1,55502,Private,Minor scratches,None,
VEH-10055,VAO06R38N432031262,KA17B5522,MARUTI,SWIFT DZIRE,VDI,767125.0,2,2023,2023-04-12,Ma-NAG,Sedan,Diesel,1248,0,0,1,1,0,128793,Private,,Body kit,
VEH-10056,LSN04B53J611015579,WB10B1387,MARUTI,BALENO HATCHBACK,Delta 1.2,504199.53,9,2016,2016-02-18,Ka-MYS,Hatchback,Petrol,1197,1,0,1,1,0,142403,Private,,,
VEH-10057,AJE45Y12K964033101,DL48C3953,MARUTI,VITARA BREZZA,VDI,628673.79,10,2015,2015-08-27,Ma-MUM,SUV,Diesel,1248,0,1,0,0,1,125911,Private,,,
VEH-10058,AHD17J07H394792636,WB35D6728,MARUTI,BALENO HATCHBACK,Delta 1.2,370632.98,15,2010,2010-08-27,Ma-PUN,Hatchback,Petrol,1197,1,1,1,1,1,48936,Private,Minor scratches,None,
VEH-10059,VDD79W17U514428099,DL89C6105,MARUTI,WAGON R,1.0 VXI,308005.25,13,2012,2012-11-10,Ka-BAN,Hatchback,Petrol,998,0,0,0,1,0,106199,Private,None,Body kit,
VEH-10060,UGJ35O20T608752121,DL92C3949,MARUTI,SWIFT,VXI,324303.86,15,2010,2010-09-17,De-NOI,Hatchback,Petrol,1197,1,1,1,1,1,57092,Private,,Alloy wheels,
VEH-10061,CJO24W82A730813899,GJ97C6262,MARUTI,DZIRE,VXI,588073.51,6,2019,2019-07-20,Ta-MAD,Sedan,Petrol,1197,1,1,0,1,1,7323,Private,None,Body kit,
VEH-10062,XWU27R35H830788518,RJ42C2163,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,296506.39,15,2010,2010-12-01,Ta-CHE,Hatchback,Petrol,1197,1,1,0,1,0,95400,Private,None,Body kit,
VEH-10063,SOX88W43U193371613,GJ87D6167,MARUTI,WAGON R,1.0 VXI,464268.56,5,2020,2020-06-04,Ta-MAD,Hatchback,Petrol,998,1,1,0,1,1,44615,Private,,None,
VEH-10064,QWZ13G63K633453286,WB43C5917,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.8 Z 7 STR,2143437.5,3,2022,2022-09-04,Ma-PUN,MUV,Diesel,2755,0,0,0,1,0,21975,Private,None,Alloy wheels,
VEH-10065,OKI06U17P094244813,UP03C7987,MARUTI,ALTO 800,LXI,252099.76,9,2016,2016-11-13,Ma-MUM,Hatchback,Petrol,796,0,1,0,1,0,124021,Commercial,Minor scratches,Alloy wheels,
VEH-10066,TYB37H32Y639035216,MH86B6428,MARUTI,SWIFT,VXI,441174.59,9,2016,2016-03-03,Ma-PUN,Hatchback,Petrol,1197,1,1,0,0,0,34186,Private,None,,
VEH-10067,NML31R88H739861293,KA54D6804,MARUTI,ALTO,K10 VXI,268221.24,14,2011,2011-10-13,Ma-MUM,Hatchback,Petrol,998,1,0,0,0,0,60111,Private,,Body kit,
VEH-10068,XJX81G40J147785109,GJ40A7665,MARUTI,WAGON R,1.0 VXI,570000.0,1,2024,2024-03-02,De-NOI,Hatchback,Petrol,998,0,0,0,1,0,65718,Private,None,Alloy wheels,
VEH-10069,ZPX44W44J735867367,UP44B5869,HYUNDAI,VENUE,1.2 S PETROL,657713.8,5,2020,2020-02-25,Ka-BAN,SUV,Petrol,1197,1,1,0,1,0,99934,Private,None,None,
VEH-10070,JMW74N85Q883471124,GJ99D6304,HYUNDAI,VENUE,1.2 S PETROL,535712.0,9,2016,2016-07-02,Ka-BAN,SUV,Petrol,1197,1,0,1,1,0,92380,Private,,Body kit,
VEH-10071,CYI17K44M539283112,RJ02D8470,MARUTI,DZIRE,VXI,390139.98,14,2011,2011-09-02,Ma-MUM,Sedan,Petrol,1197,0,0,1,1,0,21812,Private,Minor scratches,None,
VEH-10072,YBV45E84L492210013,MH28C5791,MARUTI,ERTIGA,1.5 VXI CNG,564676.29,13,2012,2012-04-15,De-GUR,MUV,CNG,1462,0,1,0,0,1,16360,Private,,,2014-04-07
VEH-10073,LEV87J32A180751037,WB92C1845,MARUTI,SWIFT,1.2 VXi BS IV,502957.61,5,2020,2020-03-21,Ka-BAN,Hatchback,Petrol,1197,1,1,0,1,1,83024,Private,Minor scratches,Body kit,
VEH-10074,RHQ46G68I951973350,KA72A7227,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,341372.49,14,2011,2011-06-18,We-KOL,Hatchback,Petrol,1197,1,1,0,0,0,40965,Private,None,,
VEH-10075,EFH48K91S761704166,GJ41A8251,MARUTI,SWIFT DZIRE,VDI,436340.77,13,2012,2012-07-07,Ma-PUN,Sedan,Diesel,1248,1,1,0,1,1,145472,Private,None,Body kit,
VEH-10076,BNF30H59W589507910,DL63A2241,HYUNDAI,CRETA,1.4 E Plus,955619.46,6,2019,2019-03-20,Ma-NAG,SUV,Diesel,1582,1,1,0,1,1,40967,Private,Dent on door,,
VEH-10077,SKB57F70L604887651,KA09B6705,MARUTI,ERTIGA,1.5 VXI CNG,895956.87,4,2021,2021-02-07,Ma-NAG,MUV,CNG,1462,1,0,1,1,0,98168,Private,,Alloy wheels,
VEH-10078,YAM60M09V040852944,KA47B1840,MARUTI,SWIFT,VDI (DIESEL),390139.98,14,2011,2011-06-03,De-GUR,Hatchback,Diesel,1248,0,1,1,1,0,123930,Private,None,Alloy wheels,
VEH-10079,UIL79C89J513492919,TN01A1297,MARUTI,SWIFT,VXI,514564.32,6,2019,2019-08-03,Ma-MUM,Hatchback,Petrol,1197,1,0,0,0,0,35512,Private,Minor scratches,Alloy wheels,
VEH-10080,YFC48K49V007115536,GJ18C4189,MARUTI,ALTO 800,LXI,400000.0,0,2025,2025-08-06,Ta-MAD,Hatchback,Petrol,796,1,0,0,0,1,6662,Private,Minor scratches,None,
VEH-10081,EVF97E66I233409771,KA42C2913,MARUTI,BALENO HATCHBACK,Zeta 1.2,628503.57,7,2018,2018-12-12,De-GUR,Hatchback,Petrol,1197,0,0,0,1,0,113261,Private,Dent on door,Body kit,
VEH-10082,THB77X86Z674808456,DL43C3073,MARUTI,WAGON R,1.0 VXI,378149.65,9,2016,2016-12-23,Ma-PUN,Hatchback,Petrol,998,0,1,0,1,1,36388,Private,,Alloy wheels,
VEH-10083,KUW00F31R976715528,MH79C6368,MARUTI,SWIFT,1.2 VXi BS IV,529429.06,4,2021,2021-08-25,Ka-BAN,Hatchback,Petrol,1197,1,0,0,1,1,86568,Private,,None,
VEH-10084,NJG82N92E408140725,UP88D7961,MARUTI,ALTO 800,LXI,309512.37,5,2020,2020-12-15,Ta-COI,Hatchback,Petrol,796,1,1,0,0,1,32440,Private,,Alloy wheels,
VEH-10085,DQX08E80D337201611,TN57D1194,HONDA,AMAZE,1.2 SMT i-VTEC,441174.59,9,2016,2016-01-07,Ta-MAD,Sedan,Petrol,1199,0,0,0,0,0,107775,Private,Dent on door,Alloy wheels,
VEH-10086,VEY60E81E287896433,DL10B2161,MARUTI,BALENO HATCHBACK,Delta 1.2,558669.84,7,2018,2018-05-18,Ka-MYS,Hatchback,Petrol,1197,1,1,0,0,1,108350,Private,,Body kit,2019-12-17
VEH-10087,GLL78N39B057785587,RJ14C2426,MARUTI,BALENO HATCHBACK,Zeta 1.2,597078.39,8,2017,2017-03-06,Ta-MAD,Hatchback,Petrol,1197,1,0,0,1,1,11873,Private,Minor scratches,None,
VEH-10088,EAH96C48Q335638972,MH19B2395,MARUTI,SWIFT,VXI,324303.86,15,2010,2010-04-27,Ta-CHE,Hatchback,Petrol,1197,0,0,0,1,1,43674,Commercial,Dent on door,None,
VEH-10089,BGS17U57B009077937,GJ22B8040,MARUTI,SWIFT DZIRE,VDI,767125.0,2,2023,2023-11-04,We-HOW,Sedan,Diesel,1248,0,1,0,1,0,4749,Commercial,,Body kit,
VEH-10090,OZC61V49D022253648,KA82C9492,MARUTI,WAGON R,1.0 VXI,308005.25,13,2012,2012-09-03,We-KOL,Hatchback,Petrol,998,0,0,0,1,1,114756,Private,Minor scratches,,
VEH-10091,NIT97T35H036858000,WB99C9785,MARUTI,ALTO 800,LXI,325802.5,4,2021,2021-02-11,Ma-MUM,Hatchback,Petrol,796,1,0,0,1,1,121806,Private,Minor scratches,,2022-09-27
VEH-10092,WSZ34L39K860305179,TN22A2129,MARUTI,DZIRE,VXI,619024.75,5,2020,2020-03-10,We-HOW,Sedan,Petrol,1197,1,0,0,0,1,19905,Commercial,Minor scratches,,
VEH-10093,DBG74Y25L326053731,RJ99B5044,HONDA,AMAZE,VX PETROL,684370.55,7,2018,2018-05-05,Ma-PUN,Sedan,Petrol,1199,0,0,0,1,1,143632,Private,None,Body kit,
VEH-10094,QYL89I44G517259625,DL71C6713,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.8 Z 7 STR,2143437.5,3,2022,2022-05-07,Ma-NAG,MUV,Diesel,2755,0,1,0,1,0,37035,Private,None,,
VEH-10095,ICS32K24Z622841439,TN76C5333,HONDA,AMAZE,1.2 VXMT i-VTEC,684370.55,7,2018,2018-12-19,We-KOL,Sedan,Petrol,1199,0,0,0,0,0,101387,Private,None,Body kit,2020-10-06
VEH-10096,VOB47I87L855492953,DL58A2790,MARUTI,VITARA BREZZA,VXI,902500.0,2,2023,2023-08-28,Ka-MYS,SUV,Petrol,1462,0,1,0,1,1,120251,Private,None,Alloy wheels,
VEH-10097,UHZ65N06E732539191,DL85B2779,MARUTI,WAGON R,1.0 LXI CNG,431223.28,8,2017,2017-03-17,Ma-PUN,Hatchback,CNG,998,0,1,0,1,0,45486,Private,Dent on door,Alloy wheels,2018-07-03
VEH-10098,LHZ43N72E500468175,WB52A2440,MARUTI,ALTO 800,LXI,252099.76,9,2016,2016-09-17,We-KOL,Hatchback,Petrol,796,0,0,0,1,1,134217,Private,Minor scratches,None,
VEH-10099,FXD15W43R093571020,RJ21D2031,MARUTI,DZIRE,VXI,619024.75,5,2020,2020-10-09,Ma-PUN,Sedan,Petrol,1197,0,1,0,0,0,131067,Private,Dent on door,Alloy wheels,2022-01-18
VEH-10100,BQM68E33R462042936,UP33C6303,MARUTI,ALTO,K10 VXI,496375.0,2,2023,2023-10-05,Ka-MYS,Hatchback,Petrol,998,1,0,0,0,0,12089,Private,,None,
VEH-10101,UXE30Y58X131448259,UP22C6050,MARUTI,WAGON R,1.0 LXI CNG,453919.24,7,2018,2018-05-23,Ka-MYS,Hatchback,CNG,998,0,0,0,0,0,26759,Private,None,Alloy wheels,
VEH-10102,CFB68E42Z113382578,RJ19C1384,HONDA,AMAZE,VX PETROL,529552.89,12,2013,2013-01-12,Ma-MUM,Sedan,Petrol,1199,0,0,0,0,1,34759,Private,None,,
VEH-10103,MEE55M51Y131591778,WB38D8470,MARUTI,BALENO HATCHBACK,Zeta 1.2,438907.48,14,2011,2011-03-15,We-KOL,Hatchback,Petrol,1197,0,1,0,0,1,55709,Private,Dent on door,None,
VEH-10104,ISS53S21N901986887,MH81D4690,MARUTI,VITARA BREZZA,ZDI PLUS,1028850.0,3,2022,2022-12-02,Ka-MYS,SUV,Diesel,1248,0,0,0,1,1,65929,Private,None,Body kit,2024-06-14
VEH-10105,LOC24Z45U833784549,DL89A3384,MARUTI,SWIFT DZIRE,VDI,767125.0,2,2023,2023-04-04,Ka-BAN,Sedan,Diesel,1248,0,1,0,0,0,8098,Private,None,None,
VEH-10106,JIS07B32K781386639,TN75D8194,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,631750.0,2,2023,2023-10-04,Ka-BAN,Hatchback,Petrol,1197,0,1,0,1,1,144886,Private,None,,
VEH-10107,NMU40T00B875881162,GJ24B3687,MARUTI,SWIFT,1.2 VXi BS IV,502957.61,5,2020,2020-10-19,Ta-MAD,Hatchback,Petrol,1197,0,1,0,1,1,112700,Private,None,Body kit,
VEH-10108,NYX28Z77E310784555,DL41C5436,HYUNDAI,CRETA,1.4 E Plus,1235000.0,1,2024,2024-06-17,We-KOL,SUV,Diesel,1582,1,1,1,1,0,60346,Private,,Body kit,
VEH-10109,MBU26T86R432863045,UP79B1294,HYUNDAI,CRETA,1.5 E DIESEL,1001842.69,4,2021,2021-11-19,Ka-BAN,SUV,Diesel,1493,0,0,0,1,1,10684,Private,,None,
VEH-10110,WJW72N61W278599638,GJ53A9710,MARUTI,BALENO HATCHBACK,Delta 1.2,619024.75,5,2020,2020-05-21,Ka-BAN,Hatchback,Petrol,1197,1,0,0,1,0,96804,Private,,Body kit,2022-08-09
VEH-10111,PKU01S41U165679368,GJ02B3736,MARUTI,ALTO 800,LXI,216144.04,12,2013,2013-08-18,Ma-MUM,Hatchback,Petrol,796,1,1,0,1,1,80440,Private,None,Alloy wheels,
VEH-10112,XOQ39A19N648244065,UP77C9880,HONDA,AMAZE,VX PETROL,758305.32,5,2020,2020-03-21,Ma-PUN,Sedan,Petrol,1199,0,1,0,1,1,115289,Private,Dent on door,Body kit,
VEH-10113,MNB39U45Q209889575,TN80B5862,HONDA,AMAZE,VX PETROL,454025.41,15,2010,2010-12-17,Ta-CHE,Sedan,Petrol,1199,1,1,0,0,1,5235,Commercial,,None,2012-03-27
VEH-10114,FST18S04X754229035,WB07A6915,MARUTI,ALTO 800,LXI,185316.49,15,2010,2010-03-12,We-HOW,Hatchback,Petrol,796,1,1,1,1,0,61440,Private,Dent on door,Body kit,2011-08-09
VEH-10115,IND27W43X287253775,KA73B9946,MARUTI,BALENO HATCHBACK,Delta 1.2,504199.53,9,2016,2016-01-16,Ma-MUM,Hatchback,Petrol,1197,1,1,1,1,1,29374,Private,None,Alloy wheels,2018-01-29
VEH-10116,FHV31Y80I225975002,KA32B5706,MARUTI,SWIFT,VXI,700000.0,0,2025,2025-10-27,We-KOL,Hatchback,Petrol,1197,0,0,0,0,1,94099,Private,Minor scratches,Body kit,
VEH-10117,GJF61B92Z615923192,DL96D2269,MARUTI,SWIFT,1.2 VXi BS IV,617500.0,1,2024,2024-05-15,De-NEW,Hatchback,Petrol,1197,0,1,1,1,1,109122,Private,Dent on door,None,
VEH-10118,VJC41D02X884206599,RJ09A1234,HONDA,AMAZE,1.2 SMT i-VTEC,441174.59,9,2016,2016-10-20,Ma-MUM,Sedan,Petrol,1199,0,1,0,0,1,85501,Private,Minor scratches,None,
VEH-10119,XPQ05H66S342584806,TN58D5046,MARUTI,ALTO,K10 VXI,329305.32,10,2015,2015-05-09,De-GUR,Hatchback,Petrol,998,1,1,0,1,1,44345,Private,Dent on door,None,2017-04-24
VEH-10120,MNH35K73O019917709,WB43C3714,MARUTI,SWIFT,VXI,419115.86,10,2015,2015-10-22,We-HOW,Hatchback,Petrol,1197,1,1,0,0,1,56614,Private,,,2018-05-08
